Primary Street,Intersection Street,location from Intersection,Volume
I 10,Sparks Dr,East,70698
I 10,Don Haskins Dr,East,90335
I 10,Zaragoza Rd,West,126969
I 10,Vista de Oro Dr,East,148957
I 10,McRae,East,153769
I 10,McRae,West,156156
I 10,Hawkins Blvd,West,173228
I 10,Rober Lee Rd,West,165366
I 10,Trowbridge Dr,West,174539
I 10,Chelsea St,East,175382
I 10,Copia St,East,163039
I 10,Copia St,West,179922
I 10,Piedras St,East,183011
I 10,Cotton St,East,187885
I 10,Schuster Sve,East,129443
I 10,Executive Blvd,East,131702
I 10,Executive Blvd,West,127757
I 10,Sunland Park Dr,East,142119
I 10,Mesa St,East,102254
I 10,Mesa St,West,118120
I 10,Artcraft Rd,West,69023
I 10,David,West,52835
I 10,Valley Chili Rd,East,44728
I 10,Antonio St,East,33708
Cesar Chavez Border Hwy,Zaragoza Rd,East,44599
Cesar Chavez Border Hwy,Zaragoza Rd,West,36596
Cesar Chavez Border Hwy,Fonseca Dr,East,35520
Cesar Chavez Border Hwy,US54,East,34443
Cesar Chavez Border Hwy,San Marcial St,West,18381
Cesar Chavez Border Hwy,Campbell St,East,17899
Cesar Chavez Border Hwy,Santa Fe St,East,12250
